T_1,T_2,T_3
895,958,0.991219901128813
266,911,0.991319945780498
931,967,0.994334869024591
948,964,0.994866686288136
947,962,0.995194107786819
956,941,0.996972846633151
930,960,0.998967392568326
940,955,0.999170787192537
961,924,0.999973317746195
977,976,1
979,972,1
980,975,1
981,959,1
982,970,1
983,928,1
984,974,1
985,916,1
986,946,1
987,973,1
988,978,1
989,952,1
990,968,1
991,969,1
992,963,1
993,966,1
994,951,1
995,971,1
996,965,1
997,915,1
998,953,1
